EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,2022_WeightedMammal_HostDistributionModels,"Weighted TBE Mammal Host distribution models, 2022. 

Abstract: The distributions of the known TBE vector hosts were obtained from IUCN and the European Mammal Atlas and covnverted to presence or absence within standard 50 km Grid and then ranked from 1 to 4 according to their function as follows:
 
 Reservoir Host and virus amplifiers. Score 4 = Apodemus flavicolis (Yellow necked mouse), Myodes glareolus (Bank vole) 
 Major Vector amplifiers and virus dilution. Score 3 = Capreolus capreolus (Roe deer) , cervus elephus (Red deer), Dama dama (Fallow Deer)
 Minor Vector amplifiers and virus dilution. Score 2 = Alces alces (Moose) , Odocoelus virginia (White tailed deer)
 Possible Vector Amplifiers Score 1= Lepus europeus (European hare), Lepus timidus (Mountain Hare)
 Host Predators Score -1 Vulpes vulpes (Red Fox)
 An equal number of zero (hosts absent) points were assigned randommly outside the known host ranges.
 
 The summed scores were then modeled using Random Forest and Boosted Regresion Trees spatial modelling methods, implemented using the VECMAP modelling suite, using a standard set of covariates including Fourier Processed Remotely Sensed environmental variables, land use proportions, human poplation and elevation. . The outputs of the two methodds were then ensembled as a simple mean.","TBE hosts, weighted ,mean score, spatial model","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/weightedmammalhosts22,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_smallMammal.png,,,TBE,C0014061,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120040,40
NO,2023_SpatialModels_Mosquitovectors_WNV,"Spatial Models of moisquito vectors of WNV - Culex pipiens, Culex torrentium and Culex modestus. 

Abstract: Ensembled spatial models waer produced for WNV vectors Culex pipiens (movmnpipiensrfbrtmeanfeb23.tif), Culex torrentium movmnpipiensrfbrtmeanfeb23.tif) , and Culex modestus (modcumodMEANrfbrt.tif) by combining Random Forest and Boosted Regresion Trees spatial modelling outputs, implemented using the VECMAP modelling suite, using a standard set of covariates including Fourier Processed Remotely Sensed environmental variables, land use proportions, human poplation and elevation. The training data offered to the model process include point location and polygon data from the VectorNet project (https://www.ecdc.europa.eu/en/about-us/partnerships-and-networks/disease-and-laboratory-networks/vector-net), from the Global Biodiversity Information Facility (www.gbif.org) and a series of published papers","Vectors,WNV,Mosquito","ERGO
","William Wint (william.wint@gmail.com)
",2023,Yes,https://tinyurl.com/modlsmosquitovectorsWNV23,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_SM_Mos_WNV23.png,,,Mosquito borne Flaviviruses,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120041,41
NO,Consensus_LandUse_Earthenv_1k_ER,"Earthenv consensus land use. 

Abstract: The Earthenv (www.earthenv.org) consensus land cover layers are a combination of a number of public domain land cover datasets, which are considered to be more reperesnative han any of the component datasets. 12 land cover types are provided as proportions, easch of which has been ettracted for the MOOD extent. the filenames are given in file eartnenvnames.txt)","Land Cover, Mood extent Consensus layer from www.earthenv.org","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/EARTHENVLandCoverMOOD,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_eelcbare11.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120051,51
NO,GMTED_elevation_1k,"GMTED elevation. 

Abstract: This layer has been modified from the GMTED 90m resolution datasets to produced a 1km layer to match other mMOOD covariates. The data are minimum elevation plus 1000 to remove negative values",Elevation,"ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/GMTEDelevation1k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_ElevationPlus1000.png,,,"Tularaemia, Lyme, TBE, WNV, USUTU, Mosquito borne Flaviviruses",,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120097,97
NO,resistancebank.org,"resistancebank.org, an open-access repository for surveys of antimicrobial resistance in animals","AMR, Animals",ETH,Thomas P. Van Boeckel (thomas.van.boeckel@gmail.com),2020,yes,https://doi.org/10.1038/s41597-021-00978-9,YES,https://doi.org/10.1038/s41597-021-00978-9,CC0,,https://github.com/nicocriscuolo/resistancebank.org,,,AMR,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120116,116
,epiCurve,R code for the functions developed to model the force of infection in the case of seasonal vector-borne pathogens,"vector-borne, force of infection",FEM,Giovanni Marini,,Yes,https://github.com/giomarini/epiCurve-repository,YES,,,https://github.com/giomarini/epiCurve-repository,,,,vector-borne pathogens,,Software,,,,,c4702d92-80b3-11ee-b962-0242ac120152,152
,Covariates metadata extracted from literature: Tick-borne encephalitis,Dashboard created based on disease profile created by WP2,"TBE, scoping review","FEM, ISS",Francesca Dagostin,,Yes,https://lookerstudio.google.com/u/0/reporting/fb077df1-7da2-485b-a2d5-9f100cc82604/page/p_mzkhlspowc,,https://doi.org/10.2807/1560-7917.ES.2023.28.42.2300121,,,,,,"Tick borne diseases, ticks",,Dataset,Disease data,Dashboard,,,c4702d92-80b3-11ee-b962-0242ac120150,150
,Covariates metadata extracted from literature: West Nile Virus,Dashboard created based on disease profile created by WP2,"WNV, scoping review, West Nile","FEM, ISS",Francesca Dagostin,,Yes,https://lookerstudio.google.com/u/0/reporting/25dbdec3-0352-4fbc-aced-c6c4ff5ef99d/page/p_mzkhlspowc,,10.1016/j.onehlt.2022.100478,,,,,,"WNE, WNV, West Nile",,Dataset,Disease data,Dashboard,,,c4702d92-80b3-11ee-b962-0242ac120151,151
NO,COVID-19-line-list,COVID-19-line-list,,FEM/FBK,,2020,Github,https://github.com/Juan-ZJ/COVID-19-line-list,YES, https://doi.org/10.1016/S1473-3099(20)30230-9,,,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120062,62
YES,Data for changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China,"Data for the paper ""changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China"" published in Science.",,FEM/FBK,,2020,Zenodo,http://dx.doi.org/10.5281/zenodo.3754582,YES,https://doi.org/10.1126/science.abb8001,cc4.0,https://zenodo.org/record/3775672#.Y5ccWXbMKM9,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120067,67
YES,"Code and data of article ""Estimating SARS-CoV-2 infections and associated changes in COVID-19 severity a","Code and data used in the journal article ""Estimating SARS-CoV-2 
infections and associated changes in COVID-19 severity and fatality and fatality""",COVID-19,FEM/FBK,Valentina Marziano,2023,Yes,https://doi.org/10.5281/zenodo.8006661,YES,https://doi.org/10.1111/irv.13181,,,,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120146,146
NO,Gazetteer Access Tool,MOOD data normalisation tool,"data normalisation, gazetteer, geospatial data",INESC-ID,Bruno Martins (bruno.g.martins@tecnico.ulisboa.pt),2023,Github,,YES,,GNU General Public License,https://github.com/bgmartins/gazetteer-access,,,,,,Software,,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120142,142
NO,Avian Influenza events affecting mammals from ProMED,"This dataset contains a set of Avian Influenza events affecting mammal species from 2020 to the present day, extracted from WAHIS database and normalized to the ESA platform standard. Weekly updated. ",,INRAE,,2023,,,YES,,,,https://promedmail.org/wp-content/uploads/2022/07/ProMed_logo-Full-Name.png,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120047,47
NO,EpiDCA,"EpiDCA is a generic method that aims to link epidemiological data extracted from EBS systems with their associated environmental risks factors, in order to classify the textual data detected by EBS  systems according to their relevance and timely detect outrbeak events","text-mining, risk mapping ",INRAE,el-bahdja.boudoua@inrae.fr,2023,Github,,YES,,,https://github.com/BBahdja/EpiDCA,,,,"Avian Influenza, African Swine Fever, West Nile Disease",,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120138,138
YES,An annotated Avian Influenza dataset from two event-based surveillance systems,"These dataset concerns Avian Influenza (AI) data from news items (articles) collected by two event-based surveillance systems; HealthMap and PADI-Web published between 2018 and 2019. Collected articles were manually annotated by relevance for epidemic intelligence purposes. A relevant article reports one epiemiological avian influenza event (outbreak) or more while, an irrelevant article is related to sanitary/political/economic measures or mentions another disease. This dataset can be used to train or evaluate classification approaches and classify these AI events by relevance. The structure of the dataset is as follow: EBS: name of the event-based surveillance systems that detected the event (HealthMap or PADI-Web in this case) Country: Name of the country where the event happened Place_name: Name of the administration, city or district where the event happened Disease_name: Name of the disease that is reported in the article Species_name: Name of the affected host that is reported in the article Alert_id: Event identifier Source: Name of the news outlet reporting the article. href: URL information of the article reporting the considered event. Note that multiple article can report same event. Issue_date: Date of the article publication Manualclass: Manual classification (Relevant or Irrelevant) lon: Longitude for the spacial entity lat: Lattitude fot the spacial entity English ",,INRAE & CIRAD,,2023,Datagouv,https://doi.org/10.57745/6R81RT,YES,,Etalab Open License 2.0,,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,,,HPAI,C0016627,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120042,42
YES,"Annotated datasets from PADI-web for event-based surveillance of Avian Influenza, African Swine Fever, and West-Nile Virus Disease","These datasets concern unstructured data (articles) from news items detected by an event-based surveillance system; PADI-Web, between 2022 and 2023. Collected articles were manually annotated by relevance for epidemic intelligence purposes with the help of two epidemiologists Extracted data include relevant articles (with two possible labels; epidemiological events or general information) and irrelevant information regarding three different diseases: Avian Influenza (AI), African Swine Fever (ASF) and West Nile Virus disease(WNV). This database is extensive as it deals with different types of diseases (zoonotic, cross-border and vectorial disease ) and can be used to train or evaluate classification approaches to automatically identify written text on these diseases events and classify them by relevance. The structure of the dataset is as follow: Alert_id: Article identifier. Note that each article has a unique ID, if an article reports multiple events, it is duplicated and each line represent one event. Title: Article's title given by the news outlet. hsource: URL of the news outlet reporting the article. Source: Name of the news outlet reporting the article. url: URL information of the article reporting the considered event. Note that multiple articles can report same event. Issue_date: Date of the article publication Country: Name of the country where the event happened Place_name: Name of the administration, city or district where the event happened, if none of these is mentionned in the text, the country's name is reported. Administrative_division: The administrative level at which the information is reported (country, department, city...) Disease_name: Name of the disease that is reported in the article Species_name: Name of the affected host that is reported in the article Manualclass: Manual classification (Relevant or Irrelevant) Lat: Place_name lattitude coordinates Lon: Place_name longitude coordinates ",,INRAE & CIRAD,,2023,Datagouv,https://doi.org/10.57745/99SNOZ,YES,,Etalab Open License 2.0,,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,,,"HPAI, ASF, WNV",,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120043,43
YES,Avian Influenza events from differents digital surveillance tools,"This dataset contains a set of Avian Influenza events affecting bird species from 2019 to 2021. These are preprocessed and normalized events, which are extracted from three different sources: EMPRES-i as Indicator-Based Surveillance (IBS), PADI-Web and ProMED as Epidemiological Surveillance Systems (EBS).",,INRAE & CIRAD,,2023,Datagouv,https://doi.org/10.57745/Y3XROX,YES,,CC0,,https://promedmail.org/wp-content/uploads/2022/07/ProMed_logo-Full-Name.png,,,HPAI,C0016627,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120049,49
YES,MOOD - News AMR dataset - Hackathon 2022,"This dataset has been collected from four Epidemiological Surveillance Systems (EBS) to be used in an hackathon dedicated to AMR (antimicrobial resistance) for the MOOD summer school in June 2022. The choosen EBS sources are ProMED, PADI-web, Healthmap and MedISys. The collected data are news dealing with epidemiological information or event. This dataset is composed of 4 sub-datasets for each chosen EBS. Each sub-dataset is annotated according to 3 main classes (New Information, General Information, Not Relevant). For each news labeled as New Information or General Information, another annotation is provided concerning host classification with 7 classes (Humans, Human-animal, Animals, Human-food, Food, Environment, and All). This second annotation provided 4 sub-datasets.",,INRAE & CIRAD,,2022,Datagouv,https://doi.org/10.57745/MPNSPH,YES,https://doi.org/10.1016/j.dib.2022.108870,CC0,,https://mood-h2020.eu/wp-content/uploads/2022/06/MOOD-blogevent-banner-1-1210x900.png,,,AMR,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120107,107
NO,Linking disease data from different sources,"Framework to compare official and unofficial disease data. We compared the events collected from official and unofficial sources in terms of two aspects: 1) spatio-temporal analysis (how the events are geographically and temporally distributed), and 2) thematic entity analysis (what thematic entities are extracted from the events and how they are related to spatio-temporal analysis).",,INRAE & CIRAD,Nejat Arinik (arinik9@gmail.com),2023,Gitlab,,,,,https://gitlab.irstea.fr/umr-tetis/mood/compebs,,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120132,132
NO,GeoNLPlify,"GeoNLPlify is a novel data augmentation technique that leverages spatial information to generate new labeled data for text classification related to crises using Language Models. Our approach aims to address overfitting without necessitating modifications to the underlying model architecture, distinguishing it from other prevalent methods employed to combat overfitting. Our results show that GeoNLPlify significantly improves F1-scores, demonstrating the potential of the spatial information for data augmentation for crisis-related text classification tasks (such as PADI-web). ","NLP, text-mining",INRAE & CIRAD,remy.decoupes@inrae.fr,2023,Github,,YES,https://www.doi.org/10.3233/IDA-230040,GPL_3,https://github.com/remydecoupes/GeoNLPlify/tree/master,https://raw.githubusercontent.com/remydecoupes/GeoNLPlify/master/readme_ressources/geonlplify_example_schema.png,,,"HPAI, TBE, Leptospirosis, AMR, WNE, Lyme, Unknown disease",,Software,,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120137,137
NO,SNEToolkit,Spatial named entity disambiguation toolkit,"NLP, text-mining",INRAE &CIRAD,Rodrique Kafando (rodrique.kafando@citadel.bf),2023,Github,,,https://doi.org/10.1016/j.softx.2023.101480,,https://github.com/ElsevierSoftwareX/SOFTX-D-23-00004,https://www.softxjournal.com/cms/attachment/8b0f35dd-0221-43fe-8515-096fae509127/gr5.jpg,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120131,131
NO,MOOD Press Tweets Collector,"The MOOD Press Tweets Collector is a Python script designed to gather tweets. MOOD Epidemiologists have specified a set of keywords related to diseases and symptoms and a list of media (newspapers) to followed. Consequently, only tweets from the designated newspapers featuring keywords monitored by MOOD are collected. It's important to note that the script may no longer function due to the fact that the Twitter (or now 'X') API is no longer available for free","NLP, text-mining",INRAE &CIRAD,remy.decoupes@inrae.fr,2021,Gitlab,,YES,,CeCILL-B,https://gitlab.irstea.fr/umr-tetis/mood/mood-tetis-tweets-collect,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,Europe,,"COVID-19, HPAI, Unknown disease, AMR, TBE",,Software,,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120136,136
NO,COVID-19 international cases as of Feb 13,"Data for the article ""Tracing and analysis of 288 early SARS-CoV-2 infections outside China: A modeling study"" by Pinotti et al. PLoS Med 17(7): e1003193 (2020). This dataset contains a list of the first 288 international cases of COVID-19 outside China collected by the authors, with detailed case history including dates of travel and symptom onset, date of COVID-19 confirmation, date of hospital admission, date of case isolation, travel history, epidemiological link with other cases (clusters), and hospitalization history.",,INSERM,,2020,google sheet,The database was made publicly available by the authors: “COVID-19 international cases as of Feb 13.” https://docs.google.com/spreadsheets/d/1X_8KaA7l5B_JPpwwV3js1L6lgCRa3FoH-gMrTy2k4Gw/edit?usp=sharing.,YES,https://doi.org/10.1371/journal.pmed.1003193,CC BY 4.0 ,n/a,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,COVID-19,C5203670,Dataset,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120059,59
NO,COVID-19_influenza,"Data used for the article ""Global patterns and drivers of influenza decline during the COVID-19 pandemic"", F. Bonacina et al.,  International Journal of Infectious Diseases 2023, Weekly counts of influenza specimens by country from ​​FluNet influenza repository
https://www.who.int/tools/flunet
",,INSERM,,2023,yes,,YES,https://doi.org/10.1016/j.ijid.2022.12.042,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120061,61
NO,COVID-19/contact_tracing,"Data used for the article ""Anatomy of digital contact tracing: Role of age, transmission setting, adoption, and case detection"", J. Moreno et al., ScienceAdvances 2021, The list of municipalities of Metropolitan France with INSEE code, population size, number of schools of six different levels (from kindergarten to university), number of workplaces in given size categories (0 to 9, 10 to 49, 50 to 99, 100 to 499, 500 to 999, and over 1000 employees) from the 
French National Statistical Institute (INSEE)
www.insee.fr/fr/statistiques/4265429?sommaire=4265511

Percentage of people in given age groups enrolled in each of six school levels, employed and unemployed from the 
French National Statistical Institute (INSEE)
Bilan démographique 2010, INSEE, www.insee.fr/fr/statistiques/1280950.

The age pyramid for France as the population fractions of individuals of a given age from  the French National Statistical Institute (INSEE)
Bilan démographique 2010, INSEE, www.insee.fr/fr/statistiques/1280950 .

The number of people commuting to work between each pair of municipalities (Mobilités professionnelles en 2016: déplacements domicile - lieu de travail, INSEE, www.insee.fr/fr/statistiques/4171554).

The number of people commuting to school between each pair of municipalities (Mobilités scolaires en 2015: déplacements domicile - lieu d’études, INSEE, www.insee.fr/fr/statistiques/3566470).

The probability distributions of sizes of households in France (Couples - Familles - Ménages en 2010. INSEE, www.insee.fr/fr/statistiques/2044286/?geo=COM-34150).

The probability of individuals belonging to a particular age class, given their role in the household: child of a couple, child of a single adult, adult in a couple without children, and adult in a couple with children (Couples - Familles - Ménages en 2010. INSEE, www.insee.fr/fr/statistiques/2044286/?geo=COM-34150).

Contacts’ statistics from literature
Béraud, G. et al. The French connection: the first large population-based contact survey in France relevant for the spread of infectious diseases. PLoS ONE 10, e0133203 (2015). https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133203
",,INSERM,,2021,yes,,YES,https://doi.org/10.1126/sciadv.abd8750,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120063,63
NO,COVID-19/vaccination,"Code and data for ""Agent-based modelling of reactive vaccination of workplaces and schools against COVID-19"", B. Faucher Nature Communications 2022, 

 https://zenodo.org/records/5910314
",,INSERM,,2022,yes,,YES,https://doi.org/10.1038/s41467-022-29015-y,,https://zenodo.org/records/5910314,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120064,64
NO,EPIcx-bal/COVID-19/schools,"Data used fro the article ""Screening and vaccination against COVID-19 to minimise school closure: a modelling study"", E. Colosi et al., The Lancet Infectious Diseases 2022, De-identified individual data on school contacts from the SocioPatterns project http://www.sociopatterns.org/datasets/primary-school-temporal-network-data/ 
http://www.sociopatterns.org/datasets/high-school-dynamic-contact-networks/

Surveillance data on vaccination coverage and incidence by age classes in France from SpF
https://geodes.santepubliquefrance.fr/#view=map2&c=indicator

Data on COVID-19 vaccination in the EU/EEA from ECDC covid-19 tracker
https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea",,INSERM,,2022,yes,,YES,https://doi.org/10.1016/S1473-3099(22)00138-4,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120069,69
NO,EPIcx-lab/COVID-19/Adherence_and_sustainability/,"Data and code for: Di Domenico, L., Sabbatini, C.E. et al. 
Adherence and sustainability of interventions informing optimal control against the COVID-19 pandemic. 
Commun Med 1, 57 (2021). https://doi.org/10.1038/s43856-021-00057-5 ",,INSERM,,2021,Github,https://github.com/EPIcx-lab/COVID-19/tree/master/Adherence_and_sustainability,YES,https://doi.org/10.1038/s43856-021-00057-5,CC BY 4.0 ,https://github.com/EPIcx-lab/COVID-19/tree/master/Adherence_and_sustainability,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,COVID-19,C5203670,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120070,70
NO,EPIcx-lab/COVID-19/attitude,"Data used for the article ""Attitudes towards booster, testing and isolation, and their impact on COVID-19 response in winter 2022/2023 in France, Belgium, and Italy: a cross-sectional survey and modelling study"", De Meijere et  al., The Lancet Regional Health- Europe 2023 Data on age, sex, and level of education from the French National Institute of Statistics and Economic Studies Ref: Institut National de la Statistique et des Études Économiques, INSEE
https://www.insee.fr/fr/statistiques

Data on age, sex, and level of education from the Belgian National Institute of Statistics and Census Data  Ref: STATBEL
https://statbel.fgov.be/nl/open-data/datalab-hoogste-opleidingsniveau-volgens-gewest-geslacht-nationaliteit-en-herkomst

Data on age, sex, and level of education from Italian National Institute of Statistics Ref: Istituto nazionale di statistica, ISTAT http://dati-censimentopopolazione.istat.it/Index.aspx?DataSetCode=DICA_GRADOISTR1

demographical, socio-economic and health-related data from national digital 
surveillance systems to assess willingness to testing, isolation and vaccination. 
https://www.grippenet.fr/
https://survey.infectieradar.be/welcome
https://influweb.org/welcome
",,INSERM,,2023,yes,https://doi.org/10.1016/j.lanepe.2023.100614,NO,,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used and produced,data used are public,c4702d92-80b3-11ee-b962-0242ac120071,71
NO,EPIcx-lab/COVID-19/curfew_B.1.1.7,"Data for the article: ""Impact of January 2021 curfew measures on SARS-CoV-2 B.1.1.7 circulation in France"", L. Di Domenico et al., Eurosurveillance 2021 Contact matrices from literature
Béraud, G. et al. The French connection: the first large population-based contact survey in France relevant for the spread of infectious diseases. PLoS ONE 10, e0133203 (2015). https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133203

Regional daily hospital admission data from SIVIC database
https://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/

variants of concern from literature
https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.9.2100133

vaccinations from DataGouv.fr
https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1

Presence at workplaces from Google Mobility Reports
https://www.google.com/covid19/mobility?hl=fr

Relative change in the daily number of visitors to places of work, based on Google location data from Google Mobility Reports
https://www.google.com/covid19/mobility?hl=fr
",,INSERM,,2021,yes,,YES,https://doi.org/10.2807/1560-7917.ES.2021.26.15.2100272,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120072,72
NO,EPIcx-lab/COVID-19/Impact_school_reopening/,"Data and code for: Modelling safe protocols for reopening schools during the COVID-19 pandemic in France. Nat Commun 12, 1073 (2021)
Laura Di Domenico, Giulia Pullano, Chiara E. Sabbatini, Pierre-Yves Boëlle & Vittoria Colizza
https://doi.org/10.1038/s41467-021-21249-6",,INSERM,,2021,Github,https://github.com/EPIcx-lab/COVID-19/tree/master/Impact_school_reopening,YES,https://doi.org/10.1038/s41467-021-21249-6,CC BY 4.0 ,https://github.com/EPIcx-lab/COVID-19/tree/master/Impact_school_reopening,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,COVID-19,C5203670,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120073,73
NO,EPIcx-lab/COVID-19/importation_risk_Africa,"Data for the article ""Preparedness and vulnerability of African countries against importations of COVID-19: a modelling study"", M. Gilbert, G. Pullano et al., The Lancet 2020, China human population data per province and case data 
http://www.citypopulation.de/en/china/cities/
Coronavirus COVID-19 global cases.
https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
International health regulations (2005): State Party Self-Assessment Annual Reporting Tool. World Health Organization, Geneva2018
https://apps.who.int/iris/handle/10665/272432
",,INSERM,,2020,yes,,YES,https://doi.org/10.1016/S0140-6736(20)30411-6,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120074,74
NO,EPIcx-lab/COVID-19/importation_lockdown,"Data for the article ""Impact of lockdown on COVID-19 epidemic in Île-de-France and possible exit strategies"", L. Di Domenico, G.Pullano et al., BMC 2020 Demographic and age profile data. Population légale de ’Île-de-France. INSEE.fr. https://www.insee.fr/fr/statistiques/4270719. 

Hospital admission data, Données hospitalières relatives à l’épidémie de COVID-19 
https://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/


Contact matrices from literature
Béraud, G. et al. The French connection: the first large population-based contact survey in France relevant for the spread of infectious diseases. PLoS ONE 10, e0133203 (2015). https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133203",,INSERM,,2020,yes,,YES,https://doi.org/10.1186/s12916-020-01698-4,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120075,75
NO,EPIcx-lab/COVID-19/importation_risk_Europe,"Data for the article ""Novel coronavirus (2019-nCoV) early-stage importation risk to Europe, January 2020"" G. Pullano, F. Pinotti , et al., Eurosurveillance 2020, The data contains de-identified and aggregated domestic population movement data (2013–2015) derived from Baidu Location-Based",,INSERM,,2020,yes,,YES,https://doi.org/10.2807/1560-7917.ES.2020.25.4.2000057,CC BY 4.0,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Prod.,Public,c4702d92-80b3-11ee-b962-0242ac120076,76
NO,EPIcx-lab/COVID-19/importation_risk_summer_Delta,"Data for the article ""Projecting the COVID-19 epidemic risk in France for the summer 2021"", Mazzoli et al., Journal of Travel Medecine 2021 Incidence time series at Data Gouv. www.data.gouv.fr/en/datasets/donnees-relatives-aux-resultats-des-tests-virologiques-covid-19/
Hospitalized time series at Data Gouv. www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/
Variants screening data
https://geodes.santepubliquefrance.fr/#view=map2&c=indicator

Vaccination time series from Assurance Maladie France
https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1

Facebook Stay Put Data
https://dataforgood.fb.com/
",,INSERM,,2021,yes,,YES,https://doi.org/10.1093/jtm/taab129,,,https://www.inserm.fr/wp-content/uploads/2021/01/logo-inserm.svg,,,,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120077,77
